"","BCOLO","BOGOTA","BVC","CELSIA","CEMARGOS","CNEC","CORFICOL ","ECOPETL","ETB","GEB","GRUPOARG","GRUPOBOL","GRUPOSUR","ISA","MINEROS","NUTRESA","PFAVAL","PFBCOLO","PFCEMARG","PFCORCOL","PFDAVVND","PFGRUPOA","PFGRUPSU","PROMIG","TERPEL"
"444",0.195192537185088,0.305538861507029,0.357091154869801,0.0993433267229185,0.297584298781757,0.40371185466306,0.418178366911574,0.0268446740492332,0.481745932941785,0.0106652248868942,0.191562336011148,0.201703915806612,0.553732819059355,0.198524024856318,0.029001301276639,0.115971954019278,0.195902255558736,0.0744373253220473,0.28060754325844,0.155167581800592,0.0287930394792487,0.706004161136985,1,0.180389395906429,0.0756362742832071
"445",0.195257382512586,0.305258464101577,0.355372428229841,0.0992748019352973,0.297440320283266,0.403877652992864,0.418284982533141,0.0268324187066285,0.481076515762639,0.0106580102106594,0.191825421832651,0.200341127991878,0.553883520143686,0.198671259756357,0.0289707963818807,0.1160501154682,0.195991159248829,0.0743885403125577,0.280452303440532,0.155096277749912,0.0287448332705704,0.705212318717427,1,0.179432988264694,0.075860197604208
"446",0.194077001081739,0.303933697419235,0.353433971650205,0.0991713618677898,0.297661092370128,0.40346982015298,0.419389670322101,0.0313374433684587,0.481247642441306,0.0118376815832056,0.191536393075781,0.200291285009861,0.552856206468451,0.198240885271134,0.0291907718318906,0.115293691593393,0.195637697906202,0.0745631920762542,0.27955550290097,0.155813249903743,0.0248572899815321,0.703428092714899,1,0.178090542952926,0.0752804803847954
"447",0.190092625610381,0.248161416851601,0.34054971122356,0.097542674402058,0.29453607544689,0.408314152726888,0.422074548797239,0.0244422407278489,0.485334637914127,0.0108731510675078,0.196668276191139,0.20283625416631,0.566207052618331,0.240155845791391,0.0947334771114355,0.00419536047172043,0.199910761609381,0.0555034805636298,0.270395072036486,0.157288900432754,0.018423442804724,0.675356248008105,1,0.172278253714211,0.0726050474656994
"448",0.24217908148718,0.229954603971748,0.306317124527194,0.0877398110050629,0.288884968108008,0.399215809374999,0.411209272833851,0.0239592334658039,0.4714880854052,0.00960207921681684,0.252569296214563,0.192925259433589,0.740605331203401,0.305810805996409,0.118113446043081,0.282074476590221,0.257433826668157,0.0672604660614232,0.249013220271505,0.150051027549165,0.0253349806270426,0.635404249029015,1,0.150328084349567,0.0620628661823082
"449",0.170809421624312,0.297666033942272,0.39720131202901,0.113516592662044,0.288008843272872,0.395729132665952,0.408508658238569,0.016827799650796,0.469028889890596,0.00674235514031579,0.177664970956999,0.190590049220638,0.523543528368794,0.213684329779789,0.0817650099688527,0.314935287243095,0.180228996729362,0.0473448474305885,0.324259025818309,0.147411387478887,0.0179045056142322,0.833601770842871,1,0.19301494674289,0.0792236308684914
"450",0.173271056293754,0.373619001150035,0.521324741862745,0.19007279624115,0.256043367064193,0.357071421526093,0.368918087999764,0.0196070005407535,0.26120715356778,0.00830201422442573,0.175599108106862,0.11029440297895,0.50407042527766,0.217392994062313,0.0866316832683917,0.393925991959738,0.180762647341602,0.0526455307158543,0.52679029090142,0.138345424890891,0.0212120808715302,1,0.860824215355999,0.270790752847321,0.115193883751019
"451",0.274620979500632,0.194359407071685,0.21224153818249,0.0699286031344112,0.278454201629363,0.385247773467399,0.392741726243742,0.300599672779251,0.582760263132713,0.00866220055727518,0.282364716390673,0.229164163516583,0.869229968955185,0.342405001664536,0.127746794666422,0.315073789033374,0.290035395837027,0.0640764553253083,0.2064903181187,0.13769274465361,0.0236326172238343,0.554498127051679,1,0.11041028946864,0.27709818696611
"452",0.326989342587473,0.313709177223968,0.339511678416085,0.137941906067961,0.274637074730261,0.381472025352815,0.0556472345623156,0.355368870607805,0.453575291985335,0.011184945643501,0.337037188731961,0.182135175262008,1,0.40818635939161,0.156649336470938,0.373243504749965,0.339640549831669,0.0791122154970864,0.338174480224036,0.0199373279922324,0.0300749400008427,0.867453758443505,0.971992955928741,0.42597778145298,0.173290651286717
"453",0.187551378424545,0.255605652319124,0.0219607878024462,0.121982342062358,0.330020339206132,0.403084938874332,0.418093136917916,0.202637759579443,0.479645505388556,0.00697343898736893,0.115136619269733,0.197414477463906,0.559390997858717,0.235318590713033,0.0924070496320142,0.0552724773663539,0.192070928223495,0.0467992486507058,0.280321369573837,0.153331832859795,0.0183203416757896,0.691280622345029,1,0.350072811901128,0.144636143227586
"454",0.218025787805312,0.270434807975481,0.28940291554321,0.172126951493112,0.303674576143836,0.419184002464818,0.0760112526266176,0.235859658842945,0.711799319695119,0.0690538991601184,0.227415875426807,0.304812743558723,0.622068635557446,0.113021795802853,0.0464760778227455,0.00907760335003405,0.256068157211721,0.056408981451834,0.312145510794884,0.0291284612869374,0.0228641275121736,0.701401515296466,1,0.164739748127995,0.382441303864185
"455",0.282116913794398,0.246704938503998,0.263998578854168,0.147288076108757,0.296973045807304,0.410793347443966,0.0635262772337826,0.305305766759332,0.674220657208707,0.137205729964843,0.348226617598795,0.282551943937681,0.831668421858446,0.359267897117104,0.142747615404503,0.0566342474478755,0.276817875418567,0.0687169285178866,0.278434490133436,0.0239050073857358,0.0228560698131873,0.653809704026867,1,0.148030423155485,0.351154420590564
"456",0.282467564351684,0.24757230068049,0.264344767706963,0.148093904574802,0.295617096619908,0.410616242252239,0.0640324939147325,0.30544413391311,0.67489814095176,0.138515583031044,0.350053630305059,0.282913173773006,0.832419636915209,0.359033173190863,0.142499702410784,0.0570877307709324,0.276792682578936,0.0692764378836809,0.279446968443784,0.0240766648631644,0.0229048406285571,0.654910855380945,1,0.149633868168834,0.352394692158002
"457",0.215383245199329,0.269949535365563,0.288166242803531,0.133962668917049,0.303406486234807,0.421169114980225,0.0598528439371952,0.0134919301535222,0.712145892284651,0.0144134793073119,0.223122445000833,0.304360437951343,0.61466639095357,0.27317435122728,0.111332475006912,0.0143296874237413,0.208763555044734,0.0602889582875682,0.296412185046711,0.0230873797668934,0.0365296801049107,0.696316235748842,1,0.166132105268462,0.382440415763193
