"","V1"
"205",0.828899507208364
"206",0.828899507208364
"207",0.828899507208364
"208",0.836563174367176
"209",0.830226733043431
"210",0.830226733043431
"211",0.832402590533515
"212",0.836274557263277
"213",0.837062748944793
"214",0.832041429143042
"215",0.846117275006156
"216",0.846117275006156
"217",0.845709571707509
"218",0.845709571707509
"219",0.825163998473329
"220",0.838554581404789
"221",0.825163998473329
"222",0.825163998473329
"223",0.825163998473329
"224",0.800877624902179
"225",0.801584153716818
"226",0.824247670560442
"227",0.824247670560442
"228",0.824247670560442
"229",0.827013091153893
"230",0.825458643746722
"231",0.831838462031114
"232",0.802925033175087
"233",0.833043442751823
"234",0.833043442751823
"235",0.834796791479932
"236",0.831838462031114
"237",0.831838462031114
"238",0.834264237072735
"239",0.833555711606695
"240",0.833555711606695
"241",0.770904773857976
"242",0.770904773857976
"243",0.78658583793279
"244",0.788750601691877
"245",0.791951557370994
"246",0.769325378925948
"247",0.797341594518978
"248",0.75763767714701
"249",0.7603284725609
"250",0.776863698003373
"251",0.770551117985247
"252",0.8008373552198
"253",0.76919733203003
"254",0.785035959941915
"255",0.816836161933252
"256",0.793243184464698
"257",0.820530618838377
"258",0.818201653483559
"259",0.818201653483559
"260",0.817802976583271
"261",0.817802976583271
"262",0.822752034529337
"263",0.805947669756218
"264",0.817802976583271
"265",0.79649826138375
"266",0.793243184464698
"267",0.795528935040018
"268",0.793243184464698
"269",0.821850746622759
"270",0.821850746622759
"271",0.782969504652924
"272",0.773886911279013
"273",0.746188792635436
"274",0.790305652148949
"275",0.786754765404118
"276",0.821384760152754
"277",0.791902716258346
"278",0.791614792185823
"279",0.791614792185823
"280",0.791614792185823
"281",0.791614792185823
"282",0.791614792185823
"283",0.791614792185823
"284",0.793794106157768
"285",0.793553319081578
"286",0.793553319081578
"287",0.793794106157768
"288",0.807313194472445
"289",0.787119466163214
"290",0.782651723308952
"291",0.806107669781798
"292",0.762566346195601
"293",0.787566829591405
"294",0.77061598790326
"295",0.783922159811832
"296",0.787207686886515
"297",0.807196373438044
"298",0.832883635423049
"299",0.83288363542305
"300",0.794768856502059
"301",0.794768856502059
"302",0.825001538334273
"303",0.803809372242667
"304",0.825001538334273
"305",0.825001538334273
"306",0.793561153442717
"307",0.791718593367069
"308",0.79672016129295
"309",0.801846020285743
"310",0.809444605395142
"311",0.809444605395141
"312",0.802393731879386
"313",0.800854037990043
"314",0.800854037990043
"315",0.802393731879386
"316",0.801846020285743
"317",0.793561153442717
"318",0.787892316341642
"319",0.777931961752216
"320",0.785638540689857
"321",0.794563352932116
"322",0.81396063456872
"323",0.734972450932705
"324",0.734972450932705
"325",0.789153419704519
"326",0.789153419704518
"327",0.789153419704519
"328",0.768443402538576
"329",0.729063108131322
"330",0.761854779564542
"331",0.761854779564542
"332",0.723500982661101
"333",0.723500982661101
"334",0.713476746182773
"335",0.714629565008094
"336",0.724732116739283
"337",0.724732116739283
"338",0.720785053270992
"339",0.720785053270992
"340",0.720785053270992
"341",0.720785053270992
"342",0.720785053270992
"343",0.720785053270992
"344",0.720785053270992
"345",0.720785053270992
"346",0.777292580108956
"347",0.704687994347006
"348",0.704687994347006
"349",0.704687994347006
"350",0.726932849825574
"351",0.705525039045931
"352",0.719255591266514
"353",0.719255591266515
"354",0.719255591266515
"355",0.74645754943167
"356",0.720015760582798
"357",0.767210140310635
"358",0.815092159904546
"359",0.825745230491122
"360",0.877682749632528
"361",0.886476819053889
"362",0.883826900985998
"363",0.869404651226056
"364",0.869404651226055
"365",0.823166656504327
"366",0.805480716554541
"367",0.805480716554542
"368",0.793543642174844
"369",0.84400563472598
"370",0.795225758969215
"371",0.795225758969215
"372",0.813112356284738
"373",0.798169676807599
"374",0.783600414749425
"375",0.795455924958759
"376",0.809889267529366
"377",0.779922973784743
"378",0.783433253948527
"379",0.781667333919171
"380",0.799867272814198
"381",0.69427065533944
"382",0.694270655339441
"383",0.701446101747064
"384",0.788050653878213
"385",0.78114920392012
"386",0.829037841984516
"387",0.793368783038168
"388",0.795904602591972
"389",0.795904602591972
"390",0.779563842055702
"391",0.726581816046901
"392",0.761892446280585
"393",0.780729102616727
"394",0.766817500387217
"395",0.769972439612069
"396",0.750763341897846
"397",0.78251232849897
"398",0.784303062368183
"399",0.742853885492892
"400",0.76413759897821
"401",0.768497567461513
"402",0.793466181873267
"403",0.788070999384137
"404",0.788070999384137
"405",0.788070999384137
"406",0.788070999384137
"407",0.788070999384137
"408",0.792976559368874
"409",0.793024165398348
"410",0.798082455551807
"411",0.811702678291736
"412",0.830415872561542
