"","AENZAC1","ALICORC1","ATACOBC1","BACKUSI1","BAP","BBVAC1","BVN","CASAGRC1","CORAREC1","CORAREI1","CPACASC1","CVERDEC1","ENDISPC1","ENGEPEC1","ENGIEC1","FERREYC1","GBVLAC1","IFS","INRETC1","MINSURI1","NEXAPEC1","PML","RELAPAC1","RIMSEGC1","SCCO","SIDERC1","TV","UNACEMC1","VOLCABC1"
"422",0.183430839727129,0.711774858520443,0.18182815484218,0.418302398560737,0.292059301471353,0.0751891610980839,0.383895552013134,1,0.135435237557702,0.186649748220818,0.275914502344164,0.765799478184694,0.404900121190034,0.294516211534564,0.0533276809621167,0.128750580640239,0.964153212678838,0.389099462547915,0.0336013303835812,0.136449030604386,0.325521484373064,0.0839304632266317,0.0676643307673012,0.312971979652398,0.674363952951452,0.0666265881357058,0.446966020174782,0.27251797839592,0.353879685756144
"423",0.245841156611446,0.567549731320527,0.221291100020887,0.379068155176763,0.407438630376466,0.468634497023509,0.315870288119617,0.926845548922718,0.0952074557762079,0.232046848961105,0.2164257175252,0.851996801561282,0.367578619250018,0.230203181008677,0.186218661022982,0.14575241999609,0.808908127955351,0.320057544960965,0.0391045033815262,0.168170639224337,0.391861835998717,0.0996115995281281,0.0815193064102582,0.341232005975453,1,0.0813783028330718,0.610932738830271,0.213321279749931,0.448333500465506
"424",0.213857566657007,1,0.440969845433366,0.123728638579486,0.162242902257151,0.1851625973822,0.240901090312132,0.319267573584859,0.180871308418826,0.4654054675894,0.352642739434461,0.167879984116445,0.119940109034464,0.380442760813954,0.0701494306724314,0.0548850470751165,0.651219179622861,0.244057608100988,0.068631712381595,0.351934647050801,0.157519967439984,0.184502353119105,0.153799745598017,0.0636863391377787,0.423866374944033,0.154599237951692,0.563509525448769,0.369932283007964,0.989383234197921
"425",0.145082270557498,0.836790731087823,0.370096083642264,0.104525580636118,0.384465198082948,0.439015901512591,0.203259864249049,0.269352631928024,0.338654769053387,0.870224011056689,0.294410155228918,0.397085808717082,0.101254399729539,0.318344702669194,0.166297494727738,0.130446903422336,0.54823285923875,0.205748250837065,0.0575677303463806,0.294866754650983,0.371539998282568,0.154531538370739,0.129146076164342,0.151066867840909,1,0.289276220817144,0.381759385962286,0.308610085021203,0.83095105865063
"426",0.157166501535284,1,0.291788297040566,0.149274908801168,0.138593029689491,0.158129865212476,0.273780201968191,0.372761250898214,0.32855843906745,0.818936467652481,0.361940983328301,0.143714139390008,0.144501569492786,0.394737951381347,0.0615043903599264,0.0484146606469203,0.716565360387799,0.277065474612981,0.0487803052313452,0.22495078636285,0.132603349985955,0.126980157777496,0.104940132732706,0.056346539209238,0.346486267303621,0.280742300811229,0.40205366605778,0.379903506744608,0.618079384272527
"427",0.153443119626832,1,0.287678801000391,0.149623038400807,0.133520265496518,0.15189935411666,0.274334576134635,0.373688917118265,0.327234883827473,0.815259103408749,0.362490856620482,0.137494575566531,0.144906234659868,0.39450907397506,0.0590642973662714,0.0466915391722037,0.717649392820116,0.277610179842311,0.0481793086092197,0.22179963808408,0.127861327597612,0.125344134255325,0.103300768722079,0.0539350080652459,0.334008997489258,0.279165510153602,0.392832175468471,0.380022572636351,0.610082776220525
"428",0.318655845230948,0.354308379584274,0.494030045906396,0.166755930358392,0.468508013994835,0.436473043914553,0.0847459149779563,0.413093647264476,0.277561548910738,0.685969308859341,0.130348608534136,0.586608620592588,0.161500175897496,0.39919165641481,0.17094994349262,0.16325781398161,0.154603279273663,0.183911194117295,0.0841462924502138,0.364912034436244,0.368014888553821,0.217280017411605,0.213173193818199,0.231954128453389,0.956769771292438,0.238247559424043,0.811699461401248,0.136017569067851,1
"429",0.359348740560755,0.329889378166294,0.461649344112977,0.108779430884307,0.426992231884888,0.387664508531487,0.0760483191582776,0.273530144177387,0.261194888710719,0.655174044716323,0.119523082097484,0.404384717591549,0.105362541324623,0.392375269222484,0.149681435882451,0.146348355499198,0.100536821226999,0.194872754017713,0.0751815953766163,0.359594059752443,0.32933186134815,0.198580187152044,0.165102591450561,0.361704343164311,0.869336266387327,0.224439642085603,0.928361122861602,0.124859270623235,1
"430",0.3670473816855,0.433097470155023,0.389914278401442,0.142527773673248,0.516138561566027,0.462002915567238,0.0966723802912235,0.350070263803085,0.26048477401764,0.639385301986304,0.160183361794668,0.488153346951171,0.137806663780678,0.174263544718316,0.182182383436372,0.181009208774771,0.131485517334641,0.242476442538985,0.0668029288102939,0.297833468818172,0.386622276643194,0.172501812860185,0.142466543462298,0.369398660319996,1,0.22348808140021,0.927901830020303,0.167648904732676,0.811664595760799
"431",0.358706706244055,0.330666403139121,0.45962483287126,0.109367844936494,0.423425273958992,0.387530735297306,0.0755418150576223,0.274110434657828,0.261298992665406,0.65602602045901,0.119967566032349,0.402762978971706,0.105755998903246,0.394745206465998,0.149702944396794,0.145775883437075,0.100883881242364,0.19344168778754,0.0754536195528328,0.358287140210205,0.325101300090843,0.198699731904544,0.164757382636883,0.36094816485956,0.863060607949109,0.224280017811533,0.925500478547234,0.125411962606657,1
