"","V1"
"137",0.85756811482358
"138",0.862710722925327
"139",0.869380889015573
"140",0.873912382758269
"141",0.870844523366099
"142",0.85214426023494
"143",0.86675179978419
"144",0.86675179978419
"145",0.866751799784191
"146",0.868126789686804
"147",0.868126789686804
"148",0.870197784160154
"149",0.861481814938703
"150",0.860068122078218
"151",0.860068122078217
"152",0.860068122078218
"153",0.851656155970988
"154",0.860177330606367
"155",0.852208144598881
"156",0.805854062742307
"157",0.818742972539893
"158",0.877355720633889
"159",0.841082339666818
"160",0.842510203446853
"161",0.835220614339665
"162",0.808666933397699
"163",0.791903893101374
"164",0.801660471467589
"165",0.801660471467589
"166",0.78329643247587
"167",0.762225728719432
"168",0.797662309631129
"169",0.785816355436464
"170",0.785816355436465
"171",0.79937346569091
"172",0.791815120468196
"173",0.791815120468196
"174",0.786714556983365
"175",0.786714556983365
"176",0.848454357197513
"177",0.856398631847057
"178",0.871251823189963
"179",0.852227929101222
"180",0.74911677475612
"181",0.71593737906685
"182",0.800774371905096
"183",0.804178770142648
"184",0.794168405915051
"185",0.739627555387631
"186",0.841672655098269
"187",0.840388254547217
"188",0.840388254547217
"189",0.840388254547217
"190",0.832685825171671
"191",0.757351663670478
"192",0.769114677796648
"193",0.755234906281938
"194",0.752020224115183
"195",0.757808836668953
"196",0.852138337323731
"197",0.853677843898289
"198",0.853677843898288
"199",0.845232649775256
"200",0.845232649775256
"201",0.847486031623574
"202",0.84932715645299
"203",0.849327156452991
"204",0.847486031623574
"205",0.847486031623574
"206",0.84524634582719
"207",0.838623811612262
"208",0.851734664218118
"209",0.851734664218118
"210",0.851734664218118
"211",0.863769730854272
"212",0.863769730854272
"213",0.85175186052364
"214",0.85175186052364
"215",0.85175186052364
"216",0.850248904356503
"217",0.850248904356502
"218",0.850248904356503
"219",0.85175186052364
"220",0.85175186052364
"221",0.85175186052364
"222",0.850248904356503
"223",0.850248904356502
"224",0.835192508709759
"225",0.846411633628233
"226",0.846411633628233
"227",0.828165639917921
"228",0.828165639917921
"229",0.792484785865029
"230",0.802394708848715
"231",0.8287604099407
"232",0.8287604099407
"233",0.842952687046874
"234",0.841783515986165
"235",0.841783515986165
"236",0.798739417891532
"237",0.826129176106584
"238",0.82629497657311
"239",0.745494908926081
"240",0.746448587132568
"241",0.839863817774506
"242",0.843636270277779
"243",0.843636270277779
"244",0.839863817774506
"245",0.839863817774506
"246",0.839863817774506
"247",0.840457821740937
"248",0.839602014414528
"249",0.839814746693802
"250",0.834605257940939
"251",0.834605257940939
"252",0.834605257940939
"253",0.719993822758795
"254",0.719993822758795
"255",0.784522095364097
"256",0.816029428766472
"257",0.829438317721021
"258",0.844196891910296
"259",0.768615040658592
"260",0.825650770909473
"261",0.830486785298522
"262",0.769021365995147
"263",0.790814314364641
"264",0.789222424623687
"265",0.847105490476375
"266",0.76644617516895
"267",0.814258959064083
"268",0.829087445533965
"269",0.827373729991402
"270",0.827373729991402
"271",0.840918221357231
"272",0.819517740298378
"273",0.8282814150721
"274",0.828281415072099
"275",0.832721836078198
"276",0.843703111125233
